"Actions","Handelingen"
"Active","Actief"
"Add New Rule","Nieuwe regel toevoegen"
"Apply the rule only if the following conditions are met (leave blank for all products)","De regel alleen toepassen als voldaan is aan de volgende voorwaarden (leeg laten voor alle producten)"
"Cart Attribute","Kenmerk winkelwagen"
"Cart Item Attribute","Kenmerk artikel winkelwagen"
"Checkout progress","Afmeldingsproces"
"Checkout Promo Rule","Promotieregel afmelden"
"Checkout Promo Rules","Promotieregels afmelden"
"Conditions combination","Combinatie van voorwaarden"
"Conditions Combination","Combinatie van voorwaarden"
"Conditions","Voorwaarden"
"Customer Groups","Klantgroepen"
"Date Expire","Vervaldatum"
"Date Start","Startdatum"
"Delete Rule","Regel verwijderen"
"Description","Omschrijving"
"Description: %s","Omschrijving: %s"
"Disabled","Uitgeschakeld"
"Edit Rule '%s'","Regel '%s' bewerken"
"Enabled","Ingeschakeld"
"equals or greater than","gelijk aan of groter dan"
"equals or less than","gelijk aan of kleiner dan"
"Expire at: %s","Verloopt op: %s"
"From Date","Vanaf datum"
"General Information","Algemene informatie"
"greater than","groter dan"
"ID","Id"
"If an item is %s in the cart with %s of these conditions true:","Indien een artikel %s in de winkelwagen zit met %s van deze voorwaarden in overeenstemming:"
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","Indien %s %s %s voor een subselectie van artikelen in winkelwagen die overeenkomen met %s van deze voorwaarden:"
"Inactive","Inactief"
"is","is"
"is not","is niet"
"is not one of","is niet één van"
"is one of","is één van"
"Item does not exist","Artikel bestaat niet"
"less than","minder dan"
"Market Segmentation Suite","Marktsegmentatie-oplossing"
"Market Segmentation Suite Rule","Regel marktsegmentatie-oplossing"
"Name: %s","Naam: %s"
"New Rule","Nieuwe regel"
"No","Nee"
"NOT LOGGED IN","NIET AANGEMELD"
"Only active MSS rules are listed here","Hier worden alleen actieve MSS-regels vermeld"
"Payment Method","Betalingsmethode"
"Price in cart","Prijs in winkelwagen"
"Priority","Prioriteit"
"Product attribute combination","Combinatie productkenmerken"
"Product Attribute","Productkenmerk"
"Products subselection","Subselectie producten"
"Quantity in cart","Hoeveelheid in winkelwagen"
"Row total in cart","Rijtotaal in winkelwagen"
"Rule Information","Regelinformatie"
"Rule Name","Naam regel"
"Rule Priority","Prioriteit regel"
"Rule was successfully deleted","Regel werd succesvol verwijderd"
"Rule was successfully saved","Regel werd succesvol opgeslagen"
"Save Rule","Regel opslaan"
"Shipping Country","Land van verzending"
"Shipping Method","Verzendmethode"
"Shipping Postcode","Postcode verzending"
"Shipping Region","Regio van verzending"
"Shipping State/Province","Staat/provincie van verzending"
"Shopping cart","Winkelwagentje"
"Show CMS block","CMS-blok tonen"
"Show promo block on pages","Promotieblok op pagina's tonen"
"Start at: %s","Starten bij: %s"
"Start date can't be greater than end date","Startdatum kan niet verder liggen dan einddatum"
"Status","Status"
"Stop further rules processing","Verder verwerken regels stoppen"
"Subtotal","Subtotaal"
"The page you are trying to save no longer exists","De pagina die u probeert op te slaan, bestaat niet meer"
"To Date","Naar datum"
"total amount","totaalbedrag"
"Total Items Quantity","Totale hoeveelheid artikelen"
"total quantity","totale hoeveelheid"
"Total Weight","Totale gewicht"
"Validate the block by MSS rule","Het blok bevestigen door MSS-regel"
"Websites","Websites"
"When the rule is met","Wanneer aan de regel voldaan is"
"Yes","Ja"
