"%s and greater","%s en groter"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d artikel(en)</strong> gevonden met de volgende zoekopdracht"
"Advanced Search","Geavanceerd zoeken"
"Advanced Search Form","Zoeken > Geavanceerd zoekformulier"
"Advanced Search Result","Zoeken > Geavanceerde zoekresultaten"
"All","Alle"
"Applies for ""Like"" search type only.","Alleen van toepassing voor ""Like"" zoekopdrachten."
"Apply Layered Navigation if Search Results are Less Than","Gelaagde navigatie gebruiken als er minder zoekresultaten zijn dan"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process.","Attribuutinformatie is aangepast met de zoekindex. Start <a href=""%s"">Zoekindex vernieuwen</a> proces."
"Autogenerated Site Map","Automatisch aangemaakte sitemap"
"Catalog Advanced Search","Catalogus geavanceerd zoeken"
"Catalog Search","Catalogus doorzoeken"
"Catalog Search Index","Catalogus zoekindex"
"Don't see what you're looking for?","Niet gevonden wat u zocht?"
"Enter ""0"" to enable layered navigation for any number of results.","Voer ""0"" in om gelaagde navigatie voor alle zoekresultaten te activeren."
"Go","Ga"
"Go to Home Page","Ga naar Home"
"Grid","Foto-tabel"
"Home","Home"
"List","Lijst"
"Maximum Query Length","Maximale lengte zoekopdracht"
"Maximum Query Words Count","Maximale aantal woorden in zoekopdracht"
"Maximum Search query length is %s. Your query was cut.","Maximale zoek-query lengte is %s. Uw query is afgebroken."
"Maximum words count is %1$s. In your search query was cut next part: %2$s.","Maximale aantal woorden is %1$s. Uw query is afgebroken na: %2$s."
"Minimal Query Length","Minimale lengte zoekopdracht"
"Minimum Search query length is %s","Minimum lengte zoekopdracht is %s"
"Modify your search","Zoekopdracht bewerken"
"No","Nee"
"No items were found using the following search criteria.","Er zijn geen items gevonden met de volgende zoekcriteria"
"Please specify at least one search term.","Specificeer tenminste 1 zoekterm"
"Popular Search Terms","Populaire zoekwoorden"
"Quick Search Form","Zoeken > Formulier"
"Rebuild Catalog product fulltext search index","Product 'fulltext' zoekindex"
"Relevance","Relevantie"
"Results","Resultaten"
"Search","Zoeken"
"Search Settings","Zoekinstellingen"
"Search Terms","Zoektermen"
"Search Type","Zoektype"
"Search entire store here...","Doorzoek de hele winkel"
"Search results for '%s'","Zoekresultaten voor ‘%s’"
"Search results for: '%s'","Zoekresultaten voor ‘%s’"
"Search:","Zoek:"
"Specified date is invalid.","Opgegeven datum is ongeldig."
"Subscribe to Feed","Abonneren op Feed"
"There are no search terms available.","Er zijn momenteel geen populaire trefwoorden beschikbaar."
"Yes","Ja"
"Your search returns no results.","Uw zoekactie had geen resultaat"
"up to %s","tot %s"
